--名前|種族|難易度|生命力|同種族内出現率|釣り針|撒き餌|逃走確立|チューニング|腹中アイテム|腹中アイテム所持確率|希少度
Albino Crab Eater|Crab Eater|#Hard|90|5|6|Red Crab Miso Can|[1,1,1,1,0.5,0.2,0,0,0]|3|["Fish Hook No. 8","No.4 Fishing Hook"]|33|1
Pipe Ears|Pipe Ears|#Normal|90|95|6|High-Grade Adaptation Fluid|[1,1,1,1,0.5,0.2,0,0,0]|3|["Fish Hook No. 8","No.4 Fishing Hook"]|33|0
Albino Pipe Ears|Pipe Ears|#Normal|90|5|6|High-Grade Adaptation Fluid|[1,1,1,1,0.5,0.2,0,0,0]|3|["Fish Hook No. 8","No.4 Fishing Hook"]|33|1
Big Unihorn|Big Unihorn|#Hard|125|95|9|Square Frog Oil Can|[1,1,1,1,1,0.5,0.2,0.1,0.02]|4|["Fish Hook No. 8","Fish Hook No. 10"]|33|0
黒子Big Unihorn|Big Unihorn|#Hard|125|5|9|Square Frog Oil Can|[1,1,1,1,1,0.5,0.2,0.1,0.02]|4|["Fish Hook No. 8","Fish Hook No. 10"]|33|1
Male Stye|Male Stye|#Easy|125|95|9|None|[1,1,1,1,1,0.5,0.2,0.1,0.02]|4|["Fish Hook No. 0","Fish Hook No. 8","Fish Hook No. 10","Fish Hook No. 100"]|33|0
Albino Male Stye|Male Stye|#Easy|125|5|9|None|[1,1,1,1,1,0.5,0.2,0.1,0.02]|4|["Fish Hook No. 0","Fish Hook No. 8","Fish Hook No. 10","Fish Hook No. 100"]|33|1
Female Stye|Female Stye|#Normal|125|95|9|None|[1,1,1,1,1,0.5,0.2,0.1,0.02]|4|["Fish Hook No. 0","Fish Hook No. 8","Fish Hook No. 10","Fish Hook No. 100"]|33|1
Albino Female Stye|Female Stye|#Normal|125|5|9|None|[1,1,1,1,1,0.5,0.2,0.1,0.02]|4|["Fish Hook No. 0","Fish Hook No. 8","Fish Hook No. 10","Fish Hook No. 100"]|33|2
Female Kyusui|Female Kyusui|#Normal|130|95|9|Blue Crab Miso Can|[1,1,1,1,1,1,0.3,0.1,0.05]|4|["Fish Hook No. 10","Fish Hook No. 100","Fish Hook No. 100+"]|33|1
Albino Female Kyusui|Female Kyusui|#Normal|130|5|9|Blue Crab Miso Can|[1,1,1,1,1,1,0.3,0.1,0.05]|4|["Fish Hook No. 10","Fish Hook No. 100","Fish Hook No. 100+"]|33|2
Big Crab Eater|Big Crab Eater|#Hard|140|95|9|Blue Crab Miso Can|[1,1,1,1,1,0.7,0.5,0.2,0.05]|5|["Fish Hook No. 8","Fish Hook No. 10"]|33|0
Albino Big Crab Eater|Big Crab Eater|#Hard|140|5|9|Blue Crab Miso Can|[1,1,1,1,1,0.7,0.5,0.2,0.05]|5|["Fish Hook No. 8","Fish Hook No. 10"]|33|1
Suihou|Suihou|#SuperHard|150|97|9|Gatari's Score|[1,1,1,1,1,1,1,0.5,0.2]|5|["Fish Hook No. 100","Fish Hook No. 100+"]|33|1
Albino Suihou|Suihou|#SuperHard|150|3|9|Gatari's Score|[1,1,1,1,1,1,1,0.5,0.2]|5|["Fish Hook No. 100","Fish Hook No. 100+"]|33|2
Wansui|Wansui|#UltraHard|300|100|9|None|[1,1,1,1,1,1,1,0.9,0.5]|6|[]|100|3
